,verdict,instance,goal,Defences,Culprits,PRules,ORules,PStatements,OStatements,DefencesFound,Moves,Duration
218,no,exp_cycles_depvary_step10_batch_yyy09.pl,q1,,,,,,,,,1.031404733657837
219,no,exp_cycles_depvary_step4_batch_yyy08.pl,t6,,,,,,,,,0.9748685359954834
220,no,exp_cycles_indvary1_step1_batch_yyy10.pl,d4,,,,,,,,,0.9567570686340332
221,no,exp_acyclic_indvary3_step4_batch_yyy01.pl,z6,,,,,,,,,0.9655604362487793
222,no,exp_cycles_indvary3_step6_batch_yyy04.pl,s1,,,,,,,,,0.9801263809204102
223,no,exp_acyclic_indvary1_step7_batch_yyy03.pl,p5,,,,,,,,,0.955482006072998
224,no,exp_cycles_indvary1_step7_batch_yyy06.pl,y4,,,,,,,,,0.9827694892883301
225,no,exp_acyclic_indvary2_step6_batch_yyy01.pl,s4,,,,,,,,,1.0141854286193848
226,no,exp_cycles_indvary3_step6_batch_yyy08.pl,c5,,,,,,,,,0.9760622978210449
227,yes,exp_cycles_indvary1_step6_batch_yyy04.pl,u1,0,1,1,0,1,0,1,1,1.0059199333190918
228,no,exp_cycles_indvary3_step7_batch_yyy03.pl,q6,,,,,,,,,0.9795904159545898
229,no,exp_acyclic_indvary3_step3_batch_yyy06.pl,u6,,,,,,,,,0.9633171558380127
230,no,exp_acyclic_indvary1_step2_batch_yyy02.pl,w2,,,,,,,,,0.9519326686859131
231,yes,exp_acyclic_depvary_step7_batch_yyy07.pl,y2,1,9,15,0,16,1,1,16,1.1108388900756836
232,no,exp_acyclic_indvary1_step7_batch_yyy08.pl,y4,,,,,,,,,0.9524903297424316
233,yes,exp_acyclic_indvary2_step1_batch_yyy03.pl,f1,1,4,11,12,12,21,1,23,1.0877387523651123
234,no,exp_acyclic_indvary1_step7_batch_yyy07.pl,z1,,,,,,,,,0.9750950336456299
235,no,exp_cycles_depvary_step1_batch_yyy08.pl,y3,,,,,,,,,0.9404239654541016
236,no,exp_acyclic_indvary1_step2_batch_yyy01.pl,u3,,,,,,,,,0.9670369625091553
237,no,exp_acyclic_indvary3_step6_batch_yyy08.pl,w5,,,,,,,,,0.9804708957672119
238,no,exp_acyclic_depvary_step10_batch_yyy02.pl,q4,,,,,,,,,1.1414151191711426
239,no,exp_acyclic_indvary2_step2_batch_yyy08.pl,v7,,,,,,,,,0.9898548126220703
240,yes,exp_acyclic_indvary2_step6_batch_yyy10.pl,x1,0,6,17,0,17,0,1,17,1.1294128894805908
241,no,exp_acyclic_depvary_step6_batch_yyy08.pl,z3,,,,,,,,,0.9885902404785156
242,no,exp_cycles_depvary_step10_batch_yyy04.pl,u3,,,,,,,,,1.2778079509735107
243,yes,exp_acyclic_depvary_step4_batch_yyy02.pl,u1,0,4,8,0,8,0,1,8,1.0288805961608887
244,no,exp_cycles_indvary3_step1_batch_yyy02.pl,t4,,,,,,,,,0.9879910945892334
245,yes,exp_cycles_depvary_step3_batch_yyy02.pl,c2,2,3,8,12,10,24,1,21,1.137549638748169
246,no,exp_cycles_depvary_step1_batch_yyy06.pl,u1,,,,,,,,,0.9389848709106445
247,no,exp_cycles_depvary_step9_batch_yyy05.pl,e4,,,,,,,,,1.6665902137756348
